Year,ActionGeo_CountryCode,avg_GoldsteinScale,sum_NumArticles,avg_AvgTone,min_AvgTone,max_AvgTone
2020,FJ,1.504740117130307,120219,-1.1872983833404038,-22.7722772277228,14.2857142857143
2019,GG,0.23813978375585793,321806,-2.4738956252793169,-20.8053691275168,14.2857142857143
2020,GY,0.68698641282239048,134461,-1.7474168549914644,-20.4301075268817,12.0567375886524
2020,SE,1.8426097507169648,52515,0.16439518159470645,-12.9186602870813,13.5593220338983
2017,PK,-0.38446738461447877,7058047,-3.1304437771363318,-37.2093023255814,25.4901960784314
2017,BB,1.2205667693009459,208174,-0.70953963755612981,-17.0731707317073,11.4942528735632
2017,BK,0.19534841431480912,366135,-2.8412420102886986,-29.4117647058824,15.9420289855072
2016,IC,1.1185102185780227,555217,-0.821800549113652,-20.8333333333333,18.1818181818182
2016,LO,1.0859860899886866,728773,-1.2572369105453314,-28.7671232876712,27.5862068965517
2015,ML,0.2243672653252391,1174648,-2.6563125673913497,-23.3766233766234,18.5185185185185
2018,AE,1.7487750882843389,1472307,0.42060438329301936,-24.4897959183673,20.3389830508475
2018,DA,0.6481931150750494,1551080,-1.5876969868771948,-27.5862068965517,23.2258064516129
2019,JN,-1.0166666666666668,55,0.96746674302260172,-2.73972602739727,4.99519692603266
2020,TP,1.0143023255813954,6223,-0.74714837182125282,-11.4754098360656,6.9620253164557
2019,BC,1.2821429314903092,246702,-0.39210998522973067,-31.5789473684211,23.0769230769231
2020,FK,0.2884955752212387,1001,-1.3595708611010506,-14.5631067961165,8.02919708029197
2019,FJ,1.3720902919018017,191354,-0.54812749551675144,-22.8260869565217,19.6969696969697
2017,GB,1.2350686320386839,177673,-1.0033161868823979,-16.8831168831169,16.0377358490566
2016,AR,1.1968421416303465,5343591,-1.3686436567509919,-27.6595744680851,21.7857142857143
2015,EN,1.2569793518556345,602336,-1.076572260743625,-20.0,17.5675675675676
2015,CB,0.67130391644615039,595592,-2.3544988493911805,-19.7916666666666,16.6666666666667
2016,PF,-0.94876816125512475,5522,-3.0653951423379455,-10.3448275862069,3.91061452513966
2018,CD,0.71264478420471167,312000,-2.6836405591275123,-25.2551020408164,15.2073732718894
2018,GJ,1.3287862095781215,83171,0.22069995497374964,-18.1592039800995,15.7894736842105
2018,ER,1.6855548357242016,291458,-1.8551778126945313,-22.1153846153846,19.5402298850575
2015,TK,0.16564417177914112,19927,-0.47667832179824,-16.1764705882352,18.6991869918699
2019,MF,1.2306068601583118,21011,-2.11022417388775,-17.9378531073446,9.43396226415094
2020,AC,2.1422390109890106,15808,-0.51002856177333256,-12.9411764705882,13.7931034482759
2020,MX,0.734648623768756,3766903,-1.9981226176756344,-31.1688311688312,15.0602409638554
2020,AY,1.2916442048517516,34710,-0.81117952171599372,-15.0753768844222,11.6161616161616
2019,IZ,-0.543494977272927,3031830,-3.7558693368140355,-35.0,21.3333333333333
2020,TO,1.0321890376473277,54666,-1.6734124596415432,-17.5,11.0236220472441
2020,NH,1.8327686238106289,25432,-0.81733740240180908,-14.1666666666667,10.4651162790698
2019,MG,1.6013344826485325,200933,0.14648008239380825,-23.6842105263158,19.1709844559586
2019,NR,0.88733616719801689,28004,-2.9279013195079022,-14.8148148148148,9.4017094017094
2017,QA,1.1969381349526627,2486740,-1.69510506761267,-25.0,26.3157894736842
2017,GT,0.48484185942507863,869410,-2.6960906202017525,-21.978021978022,16.5354330708661
2017,DJ,1.0888130132946137,224189,-1.0378242393329629,-20.6185567010309,15.9663865546218
2017,MA,1.3449949069358267,228765,-1.3805374704517539,-20.7792207792208,15.3846153846154
2017,CW,1.8780738073807377,28225,0.22990928400008168,-15.3409090909091,10.8882521489971
2016,KZ,1.2174903548059337,1232136,-1.2276411603978405,-24.8275862068965,21.7171717171717
2017,SM,1.114120267260579,17995,-0.35193708834449178,-23.963133640553,14.2857142857143
2015,IT,1.0996383434755364,7563056,-1.3249361344900745,-36.3636363636364,24.6575342465753
2016,LQ,1.2450000000000003,93,-0.07673965170613134,-3.07988450433109,1.92198982475975
2016,VC,0.84457434549248,78893,-1.1345476984528233,-19.2771084337349,19.5876288659794
2016,PU,1.5596836047884604,44739,-0.73860476301071609,-13.8047138047139,14.2857142857143
2015,VI,1.3895668550265039,14189,-0.62921954095537569,-11.8556701030928,10.625
2018,MR,1.5345356281313787,303377,-1.3013227149881668,-20.0,20.3883495145631
2018,ZI,0.36866666203677995,1568637,-2.13116777467914,-27.6360544217687,22.2222222222222
2018,TT,1.8172515174506838,57281,-0.33563541136031183,-21.4285714285714,13.1578947368421
2018,WA,1.0288973006925954,313850,-1.4675079853894415,-25.0,19.047619047619
2017,BQ,-2.6,13,-3.015949697109118,-3.58024691358025,-2.63975155279503
2019,PC,-0.9695402298850575,2289,-3.9827131775705289,-18.8940092165899,7.14285714285714
2020,FI,1.2364067284164137,546750,-1.338337102795353,-28.8951841359773,20.3389830508475
2020,IS,0.06835830993106963,3913102,-2.7481925177996351,-37.9310344827586,22.6190476190476
2019,CE,-0.033403100855517134,1665055,-3.1348509048133413,-28.5714285714286,19.3103448275862
2019,CW,1.5817972350230423,28499,-0.16021926247221849,-16.0919540229885,12.3287671232877
2019,ZI,0.44529626316151671,1170540,-2.633454005639138,-35.7142857142857,22.5806451612903
2019,PA,1.1483718112046728,453623,-1.7702407721976678,-22.5352112676056,13.2596685082873
2019,UV,-0.6053145087235996,341992,-3.4473064688198187,-30.2325581395349,13.1964809384164
2019,PU,1.2813182016586644,36706,-0.56541614597672174,-13.7195121951219,15.0997150997151
